original_name,correct_name
Gl 404.1,GJ 404.1
Gl 405,GJ 405
Gl 406,GJ 406
Gl 406.1,GJ 406.1
Gl 407,GJ 407
Gl 408,GJ 408
Gl 409,GJ 409
Gl 410,GJ 410
Gl 411,GJ 411
Gl 412B,GJ 412B
Gl 412A,GJ 412A
Gl 412.1,GJ 412.1
Gl 412.2,GJ 412.2
Gl 412.3,GJ 412.3
Gl 413.1,GJ 413.1
Gl 414B,GJ 414B
Gl 414A,GJ 414A
Gl 414.1A,GJ 414.1A
Gl 414.1B,GJ 414.1B
Gl 415,GJ 415
Gl 416,GJ 416
Gl 416.1,GJ 416.1
Gl 417,GJ 417
Gl 418,GJ 418
Gl 419,GJ 419
Gl 420A,GJ 420A
Gl 420B,GJ 420B
Gl 421B,GJ 421B
Gl 421A,GJ 421A
Gl 421C,GJ 421C
Gl 421.1B,GJ 421.1B
Gl 421.1A,GJ 421.1A
Gl 422,GJ 422
Gl 423A,GJ 423A
Gl 423B,GJ 423B
Gl 423.1,GJ 423.1
Gl 424,GJ 424
Gl 425A,GJ 425A
Gl 425B,GJ 425B
Gl 426A,GJ 426A
Gl 426B,GJ 426B
Gl 427,GJ 427
Gl 428A,GJ 428A
Gl 428B,GJ 428B
Gl 429A,GJ 429A
Gl 429B,GJ 429B
Gl 429.2,GJ 429.2
Gl 429.3,GJ 429.3
Gl 429.4,GJ 429.4
Gl 430,GJ 430
Gl 430.1,GJ 430.1
Gl 431,GJ 431
Gl 431.1A,GJ 431.1A
Gl 431.1B,GJ 431.1B
Gl 432A,GJ 432A
Gl 432B,GJ 432B
Gl 433,GJ 433
Gl 433.1,GJ 433.1
Gl 433.2B,GJ 433.2B
Gl 433.2A,GJ 433.2A
Gl 434,GJ 434
Gl 435,GJ 435
Gl 435.1,GJ 435.1
Gl 436,GJ 436
Gl 438,GJ 438
Gl 439,GJ 439
Gl 440,GJ 440
Gl 441,GJ 441
Gl 442A,GJ 442A
Gl 442B,GJ 442B
Gl 443,GJ 443
Gl 444A,GJ 444A
Gl 444B,GJ 444B
Gl 445,GJ 445
Gl 446,GJ 446
Gl 447,GJ 447
Gl 448,GJ 448
Gl 449,GJ 449
Gl 450,GJ 450
Gl 451A,GJ 451A
Gl 451B,GJ 451B
Gl 452B,GJ 452B
Gl 452A,GJ 452A
Gl 452.1,GJ 452.1
Gl 452.2A,GJ 452.2A
Gl 452.2B,GJ 452.2B
Gl 452.3B,GJ 452.3B
Gl 452.3A,GJ 452.3A
Gl 452.4,GJ 452.4
Gl 452.5A,GJ 452.5A
Gl 452.5B,GJ 452.5B
Gl 453,GJ 453
Gl 454,GJ 454
Gl 454.1,GJ 454.1
Gl 454.2A,GJ 454.2A
Gl 454.2B,GJ 454.2B
Gl 454.3,GJ 454.3
Gl 455,GJ 455
Gl 455.1,GJ 455.1
Gl 455.2,GJ 455.2
Gl 455.3,GJ 455.3
Gl 456,GJ 456
Gl 456.1B,GJ 456.1B
Gl 456.1A,GJ 456.1A
Gl 457,GJ 457
Gl 458B,GJ 458B
Gl 458A,GJ 458A
Gl 458.1AB,GJ 458.1AB
Gl 458.2,GJ 458.2
Gl 459,GJ 459
Gl 459.2,GJ 459.2
Gl 459.3,GJ 459.3
Gl 460,GJ 460
Gl 461AB,GJ 461AB
Gl 462,GJ 462
Gl 463,GJ 463
Gl 464,GJ 464
Gl 464.1,GJ 464.1
Gl 465,GJ 465
Gl 468,GJ 468
Gl 469,GJ 469
Gl 469.1,GJ 469.1
Gl 469.2A,GJ 469.2A
