HD128621;HD128620;ALF CEN B;ALPHA-CENTAURI;HD128620A;HR5459;HR5460;ALPHACENB;;;ALPHA-CEN,27812
HIP92444;;;;;;;;;;,7
HD-154090;HD154090;;;;;;;;;,7
HD18134;;;;;;;;;;,7
HIP34426;HD54100;;;;;;;;;,7
HD83683;;;;;;;;;;,7
HD273832;;;;;;;;;;,7
HD96276;;;;;;;;;;,7
TR167;;;;;;;;;;,7
TR139;;;;;;;;;;,7
HD-118551;V976_CEN;;;;;;;;;,7
HD-129750;;;;;;;;;;,7
V970-SCO;;;;;;;;;;,7
HIP59925;;;;;;;;;;,7
HIP103867;;;;;;;;;;,7
HIP73194;;;;;;;;;;,7
HD197746A;;;;;;;;;;,7
HD157668;;;;;;;;;;,7
HD166745;;;;;;;;;;,7
HD188091;;;;;;;;;;,7
HD208552A;;;;;;;;;;,7
HD221627;;;;;;;;;;,7
HD9081;;;;;;;;;;,7
HD53138;OMI2-CMA;;;;;;;;;,7
HD119503;;;;;;;;;;,7
BD-053763;;;;;;;;;;,7
HD122474;;;;;;;;;;,7
NGC6253_CANDOUT_7505;7505;;;;;;;;;,7
2840;NGC6253_MEM2840;NGC6253_MEM2760;;;;;;;;,7
HD214291;CX_GRU;;;;;;;;;,7
HD217958;;;;;;;;;;,7
HD224287;;;;;;;;;;,7
HD-4737;;;;;;;;;;,7
HD-11332;;;;;;;;;;,7
HD-193721;;;;;;;;;;,7
HD-9742;;;;;;;;;;,7
HD-24160;;;;;;;;;;,7
HD-40176;;;;;;;;;;,7
HD-64440;;;;;;;;;;,7
HD-225197;;;;;;;;;;,7
HD-12583;;;;;;;;;;,7
HD-67364;;;;;;;;;;,7
HD-72650;;;;;;;;;;,7
HD-71863;;;;;;;;;;,7
HD-82347;;;;;;;;;;,7
HD-65638;;;;;;;;;;,7
HD-79846;;;;;;;;;;,7
HD152233;;;;;;;;;;,7
HD-74622;;;;;;;;;;,7
HD-102350;;;;;;;;;;,7
HD-103462;;;;;;;;;;,7
HD-140861;;;;;;;;;;,7
HD-143546;;;;;;;;;;,7
HD-148760;;;;;;;;;;,7
HD-161814;;;;;;;;;;,7
HD-163145;;;;;;;;;;,7
HD-163652;;;;;;;;;;,7
HD-162049;;;;;;;;;;,7
HD-166063;;;;;;;;;;,7
HD206630;;;;;;;;;;,7
HD-161459;;;;;;;;;;,7
NGC6705NO136;;;;;;;;;;,7
HD18708;;;;;;;;;;,7
HD61475;;;;;;;;;;,7
SC10-1896;;;;;;;;;;,7
GJ1293;;;;;;;;;;,7
GJ3103;;;;;;;;;;,7
SC7-35;LMC7-372035;;;;;;;;;,7
GJ298;;;;;;;;;;,7
GJ386;;;;;;;;;;,7
GJ401A;;;;;;;;;;,7
MAESTRO-1;STD1808-2954;;;;;;;;;,7
GJ611.3;;;;;;;;;;,7
GJ3973;;;;;;;;;;,7
GJ3987;;;;;;;;;;,7
HD49866;;;;;;;;;;,7
HD91682;;;;;;;;;;,7
HBC-603;;;;;;;;;;,7
HD-165760;;;;;;;;;;,7
HD-169370;HD169370;;;;;;;;;,7
HD-192947;;;;;;;;;;,7
HD150936;;;;;;;;;;,7
HD184711;;;;;;;;;;,7
NGC2477NO3181;NGC2477NO.3181;;;;;;;;;,7
GJ1030;;;;;;;;;;,7
GJ78;;;;;;;;;;,7
GJ143.3;;;;;;;;;;,7
LMC110.2-45043;;;;;;;;;;,7
OBJ473;;;;;;;;;;,7
HD-86021;;;;;;;;;;,7
SERAM-0730-8419;CD-84-0080;;;;;;;;;,7
HIP-23344;;;;;;;;;;,7
BD-144622;;;;;;;;;;,7
GJ3598;;;;;;;;;;,7
GJ4065;;;;;;;;;;,7
GJ2138;;;;;;;;;;,7
HD40657;;;;;;;;;;,7
GJ4249;;;;;;;;;;,7
HD206481;;;;;;;;;;,7
HD86659;HD086659;;;;;;;;;,7
BD-035059;;;;;;;;;;,7
GJ3508;;;;;;;;;;,7
GJ3492;;;;;;;;;;,7
HD085693;HD85693;;;;;;;;;,7
HD113357;;;;;;;;;;,7
HD224288;;;;;;;;;;,7
HD110606;;;;;;;;;;,7
HD215864;;;;;;;;;;,7
LMC193.5-15460;;;;;;;;;;,7
HIP51987;;;;;;;;;;,7
HIP66990;;;;;;;;;;,7
LRC06_E2_4645;;;;;;;;;;,7
LRC07_E2_0158;;;;;;;;;;,7
A173627;BV1082SCO;;;;;;;;;,7
BNND;A204649;NN DEL;;;;;;;;,7
HIP--6407;;;;;;;;;;,7
HIP-19911;;;;;;;;;;,7
HIP-83276;HIP83276;;;;;;;;;,7
LRC08_E2_3113;;;;;;;;;;,7
LRC07_E2_2968;;;;;;;;;;,7
LRC08_E2_0275;;;;;;;;;;,7
A205257;;;;;;;;;;,7
S_SGE;S SGE;GC-GYSGE;HD 188727;;;;;;;,7
M161;;;;;;;;;;,7
NGC5822NO.316;;;;;;;;;;,7
NGC5822NO.240;;;;;;;;;;,7
BLG171.4_94577;;;;;;;;;;,7
CWW_091;;;;;;;;;;,7
HATS554-059;;;;;;;;;;,7
HATS586-003;;;;;;;;;;,7
HD128207;;;;;;;;;;,7
HATS601-012;;;;;;;;;;,7
HATS608-001;;;;;;;;;;,7
HATS566-006;;;;;;;;;;,7
HATS602-003;;;;;;;;;;,7
HD86997;;;;;;;;;;,7
HD147644;;;;;;;;;;,7
HD184588;;;;;;;;;;,7
HD 173427;;;;;;;;;;,7
HD 181544;;;;;;;;;;,7
CL002-04;;;;;;;;;;,7
HD188376;;;;;;;;;;,7
HATS601-059;;;;;;;;;;,7
HATS745-015;;;;;;;;;;,7
HATS756-008;;;;;;;;;;,7
HATS600-004;;;;;;;;;;,7
HD223884;;;;;;;;;;,7
T_PYX;;;;;;;;;;,7
NG0613-3633-10712;;;;;;;;;;,7
CL012_10;;;;;;;;;;,7
CL014_10;;;;;;;;;;,7
HATS537-011;;;;;;;;;;,7
SW_VEL;SW VEL;;;;;;;;;,7
EPIC210911405;CL001-13;;;;;;;;;,7
CL003-15;CL003_15;;;;;;;;;,7
HATS697-025;;;;;;;;;;,7
J1916-04;;;;;;;;;;,7
NOI-102322;;;;;;;;;;,7
CL012_15;CL012-15;;;;;;;;;,7
HD203621;;;;;;;;;;,7
SW0147+0307;;;;;;;;;;,7
TOI-119;;;;;;;;;;,7
NOI-101429;;;;;;;;;;,7
TOI-347;;;;;;;;;;,7
TOI-851;;;;;;;;;;,7
TOI-903;;;;;;;;;;,7
HIP110433;;;;;;;;;;,7
HIP7669;;;;;;;;;;,7
HIP25220;;;;;;;;;;,7
HIP26453;;;;;;;;;;,7
TOI-858;;;;;;;;;;,7
TOI-1097;;;;;;;;;;,7
RV_HYI;;;;;;;;;;,7
J0456-74;;;;;;;;;;,7
NGC2423NO56;NGC  2423    56;;;;;;;;;,7
LMC-CEP-1077;;;;;;;;;;,7
LMC-CEP-1509;;;;;;;;;;,7
TIC 308073360;TYC 1968-371-1;;;;;;;;;,7
WRAY 15-821;;;;;;;;;;,7
VSST 10;;;;;;;;;;,7
SMC-CEP-4906;V RZ HYI;;;;;;;;;,7
OGLE SMC-CEP-3169;SMC-CEP-3169;;;;;;;;;,7
TIC332890033;;;;;;;;;;,7
TOI-2218;;;;;;;;;;,7
TOI-2303;;;;;;;;;;,7
TIC322807675;;;;;;;;;;,7
TOI-2227;;;;;;;;;;,7
2MASS J01435586-2718251;;;;;;;;;;,7
TOI-4537;;;;;;;;;;,7
TOI-2539;;;;;;;;;;,7
HD 3359;HD  3359;;;;;;;;;,7
BD-060904;;;;;;;;;;,6
HD2025;;;;;;;;;;,6
HD25105;;;;;;;;;;,6
HIP108216;;;;;;;;;;,6
HD218572;;;;;;;;;;,6
HD25565;;;;;;;;;;,6
BD-100047;;;;;;;;;;,6
BD-130718;;;;;;;;;;,6
HD13183;;;;;;;;;;,6
HD35490A;;;;;;;;;;,6
BD-010184;;;;;;;;;;,6
BD-160931;;;;;;;;;;,6
CD-452997;;;;;;;;;;,6
HD14744;;;;;;;;;;,6
LHS1134;;;;;;;;;;,6
LHS1513;;;;;;;;;;,6
GL402;;;;;;;;;;,6
HD42606;;;;;;;;;;,6
HD61447;;;;;;;;;;,6
HD60700A;;;;;;;;;;,6
HD57568;;;;;;;;;;,6
HD291763;;;;;;;;;;,6
HIP32530;;;;;;;;;;,6
HIP-44124;BD-032525;;;;;;;;;,6
HD101581;;;;;;;;;;,6
HD84305;;;;;;;;;;,6
HD91267;;;;;;;;;;,6
HIP35992;;;;;;;;;;,6
HD110668;;;;;;;;;;,6
HD127339;;;;;;;;;;,6
HIP33392;;;;;;;;;;,6
HD89668;;;;;;;;;;,6
HIP54418;;;;;;;;;;,6
HD90081;;;;;;;;;;,6
HD90702;;;;;;;;;;,6
HD95533;;;;;;;;;;,6
CS-22948-0027;;;;;;;;;;,6
Q-1224-1116;;;;;;;;;;,6
HD118679;CD-398382B;;;;;;;;;,6
HD132683;;;;;;;;;;,6
LHS3056;;;;;;;;;;,6
HD221420;;;;;;;;;;,6
HD208000;HD207999;;;;;;;;;,6
HD149747;;;;;;;;;;,6
BD+10303B;HD13904;;;;;;;;;,6
HD26913;;;;;;;;;;,6
HIP109421;;;;;;;;;;,6
HD18777;;;;;;;;;;,6
HIP4691;;;;;;;;;;,6
HIP10741;;;;;;;;;;,6
HIP118180;;;;;;;;;;,6
HD94765;;;;;;;;;;,6
HD26864;;;;;;;;;;,6
HD68694;;;;;;;;;;,6
OGLE-TR-154;TR153;;;;;;;;;,6
HD112943;;;;;;;;;;,6
HD112283;;;;;;;;;;,6
CD-3610569;;;;;;;;;;,6
HD141128;;;;;;;;;;,6
HD77278;;;;;;;;;;,6
HD86133;;;;;;;;;;,6
HD91988;;;;;;;;;;,6
HD93153;;;;;;;;;;,6
HD96937;;;;;;;;;;,6
HD98248;;;;;;;;;;,6
HD100069;;;;;;;;;;,6
HD111814;;;;;;;;;;,6
HD132307;;;;;;;;;;,6
HD141024;;;;;;;;;;,6
HD197623;;;;;;;;;;,6
HD200078;;;;;;;;;;,6
HD103847;;;;;;;;;;,6
HD184768;;;;;;;;;;,6
HD190594;;;;;;;;;;,6
HD186843;;;;;;;;;;,6
HIP64965;;;;;;;;;;,6
BD-094191;;;;;;;;;;,6
BD-013801;;;;;;;;;;,6
HIP99606B;;;;;;;;;;,6
HD222603;;;;;;;;;;,6
HD-30836;SV-ZI-313;;;;;;;;;,6
HD46089;;;;;;;;;;,6
ZI-484;;;;;;;;;;,6
BD-173874;;;;;;;;;;,6
HIP80083;;;;;;;;;;,6
NGC6253_CANDOUT_7265;7265;;;;;;;;;,6
HIP102025;;;;;;;;;;,6
BD-195953;;;;;;;;;;,6
HD98248;;;;;;;;;;,6
HIP116110;;;;;;;;;;,6
IC4756NO44;;;;;;;;;;,6
HD196724;;;;;;;;;;,6
A061016;CD-33_2771;B_A061016;;;;;;;;,6
HD-7082;;;;;;;;;;,6
HD-6793;;;;;;;;;;,6
HD-37811;;;;;;;;;;,6
HD21882;;;;;;;;;;,6
HD-82734;;;;;;;;;;,6
HD-73468;;;;;;;;;;,6
HD-110666;;;;;;;;;;,6
HD-111295;;;;;;;;;;,6
HD-130259;;;;;;;;;;,6
HD324492;;;;;;;;;;,6
HD-81136;;;;;;;;;;,6
HD-82514;;;;;;;;;;,6
HD-83548;;;;;;;;;;,6
HD-102584;;;;;;;;;;,6
HD-133631;;;;;;;;;;,6
HD-136014;;;;;;;;;;,6
HD-139980;;;;;;;;;;,6
HD-146690;;;;;;;;;;,6
HD168442;;;;;;;;;;,6
HD-185256;;;;;;;;;;,6
HD-196470;;;;;;;;;;,6
HD-6532;;;;;;;;;;,6
NGC6705NO1446;;;;;;;;;;,6
NGC6705NO686;;;;;;;;;;,6
HD220981;;;;;;;;;;,6
PSI-PHE;;;;;;;;;;,6
GJ3260;;;;;;;;;;,6
GJ3313;;;;;;;;;;,6
SC4-630;LMC4-630;;;;;;;;;,6
HE1120-0153;;;;;;;;;;,6
LRA01_E2_1123;;;;;;;;;;,6
GJ3846;;;;;;;;;;,6
GJ3838;;;;;;;;;;,6
GJ1203;;;;;;;;;;,6
GJ3998;;;;;;;;;;,6
GJ2128;;;;;;;;;;,6
HD78130;;;;;;;;;;,6
CD-69-1055;;;;;;;;;;,6
GJ762;;;;;;;;;;,6
GJ9724;;;;;;;;;;,6
LRC02_E1_0136;;;;;;;;;;,6
NGC2477NO7334;;;;;;;;;;,6
NGC2477NO7273;NGC2477NO7266;;;;;;;;;,6
NGC2477NO7203;NGC2477NO7206;;;;;;;;;,6
NGC2477NO8256;NGC2477NO8039;;;;;;;;;,6
NGC2477NO5338;NGC2477NO5317;;;;;;;;;,6
NGC2477NO5074;NGC2477NO5076;;;;;;;;;,6
BB_SCL;0135_BB_SCL;;;;;;;;;,6
OBJ219;M67-219;;;;;;;;;,6
OBJ587;;;;;;;;;;,6
OBJ750;;;;;;;;;;,6
OBJ809;;;;;;;;;;,6
OBJ1032;;;;;;;;;;,6
OBJ1458;;;;;;;;;;,6
OBJ1622;;;;;;;;;;,6
OBJ1903;;;;;;;;;;,6
OBJ1955;;;;;;;;;;,6
SAND602;S602;;;;;;;;;,6
HR-2395;;;;;;;;;;,6
HR-2198;;;;;;;;;;,6
HIP-60632;;;;;;;;;;,6
BD-214352;;;;;;;;;;,6
BD-074478;A174044;;;;;;;;;,6
HD121190;;;;;;;;;;,6
HD205879;;;;;;;;;;,6
HD131058;;;;;;;;;;,6
HD84809;;;;;;;;;;,6
HD137785;;;;;;;;;;,6
BD-145003;;;;;;;;;;,6
GJ1099;;;;;;;;;;,6
LRA01_E1_2101;;;;;;;;;;,6
GJ1077;;;;;;;;;;,6
LRA03_E2_2445;;;;;;;;;;,6
SAND1479;S1479;;;;;;;;;,6
HD-193452;;;;;;;;;;,6
HD-178065;;;;;;;;;;,6
LRC03_E2_2531;;;;;;;;;;,6
HD188298;;;;;;;;;;,6
HD155854;;;;;;;;;;,6
HD149989;;;;;;;;;;,6
HD217065;;;;;;;;;;,6
HIP116492;;;;;;;;;;,6
LMC103.1-18511;;;;;;;;;;,6
LMC127.3-20150;;;;;;;;;;,6
LRA03_E2_0861;;;;;;;;;;,6
HD10830;;;;;;;;;;,6
SRA02_E1_1011;;;;;;;;;;,6
HIP53084;;;;;;;;;;,6
HIP57331;;;;;;;;;;,6
HIP69724;;;;;;;;;;,6
HIP111286;;;;;;;;;;,6
LRC06_E2_0119;;;;;;;;;;,6
HD329868;;;;;;;;;;,6
SRA04_E2_0106;;;;;;;;;;,6
LRC07_E2_0307;;;;;;;;;;,6
BD-1_469;;;;;;;;;;,6
YZ_CAR;;;;;;;;;;,6
Y_CAR;;;;;;;;;;,6
SRA02_E2_1065;SRA02_E1_1065;;;;;;;;;,6
NGC3680NO.44;;;;;;;;;;,6
NGC3114NO170;;;;;;;;;;,6
NGC2925NO95;;;;;;;;;;,6
HD92206C;;;;;;;;;;,6
HD152246;HD152246_7.3_19;;;;;;;;;,6
HD152218A;HD152218_7.6_18;;;;;;;;;,6
HD152590;HD152590_8.5_16_18;;;;;;;;;,6
BLG241.4_145709;;;;;;;;;;,6
LRC10_E2_5093;;;;;;;;;;,6
IC4756NO14;HD 171658;;;;;;;;;,6
CWW_093;;;;;;;;;;,6
LMC512.27.14769;;;;;;;;;;,6
NGC2477NO.4004;;;;;;;;;;,6
NGC2477NO.6254;;;;;;;;;;,6
HD-68826;;;;;;;;;;,6
HD077825;;;;;;;;;;,6
BP_CIR;;;;;;;;;;,6
V636_SCO;;;;;;;;;;,6
V350_SGR;;;;;;;;;;,6
HD144661;;;;;;;;;;,6
HD219784;;;;;;;;;;,6
HD256;;;;;;;;;;,6
HD75416;;;;;;;;;;,6
HATS554-008;;;;;;;;;;,6
HATS606-001;;;;;;;;;;,6
HATS566-004;;;;;;;;;;,6
2M1129-0127;;;;;;;;;;,6
HATS554-051;;;;;;;;;;,6
FO VIR;;;;;;;;;;,6
RR CEN;;;;;;;;;;,6
HD109591;;;;;;;;;;,6
HD128760;;;;;;;;;;,6
HD116941;;;;;;;;;;,6
HD117190;HD117190B;;;;;;;;;,6
HD146546;;;;;;;;;;,6
HD148998;;;;;;;;;;,6
HD168432;;;;;;;;;;,6
HRCAR;HD90177;HR CAR;HR-CAR;;;;;;;,6
HD907691;;;;;;;;;;,6
CL016-06;CL016_06;;;;;;;;;,6
CL008-05;;;;;;;;;;,6
HD21190_7.6;HD_21190_F2_7.6;;;;;;;;;,6
HD 139614;HD139614_8.2_A8;;;;;;;;;,6
C7_6923;;;;;;;;;;,6
TT AQL;GC-TTAQL;TT_AQL;;;;;;;;,6
HATS600-027;;;;;;;;;;,6
HATS755-007;;;;;;;;;;,6
HD224387;;;;;;;;;;,6
NG0522-2518-16746;;;;;;;;;;,6
HD2262;;;;;;;;;;,6
HD4150;;;;;;;;;;,6
HD10939;;;;;;;;;;,6
HD16754;;;;;;;;;;,6
HD16978;;;;;;;;;;,6
HD20320;;;;;;;;;;,6
HD23281;;;;;;;;;;,6
HD45557;;;;;;;;;;,6
HD78702;;;;;;;;;;,6
HD79469;;;;;;;;;;,6
HATS625-020;;;;;;;;;;,6
CL032_10;;;;;;;;;;,6
NG0518-3633-34149;;;;;;;;;;,6
TW CAP;TW_CAP;;;;;;;;;,6
HD125630_6_8;;;;;;;;;;,6
HD174356_9_2;;;;;;;;;;,6
HD157869_9.7;HD157869;;;;;;;;;,6
NG2126-1652-08696;;;;;;;;;;,6
HATS547-004;;;;;;;;;;,6
HATS544-005;;;;;;;;;;,6
HATS521-001;;;;;;;;;;,6
V2351_OPH;;;;;;;;;;,6
HD106218;;;;;;;;;;,6
J2342-47;;;;;;;;;;,6
J0034-39;;;;;;;;;;,6
HATS802-007;;;;;;;;;;,6
HATS398-018;;;;;;;;;;,6
J1512-23;;;;;;;;;;,6
SW2359-1536;;;;;;;;;;,6
NLTT4568;HIP6431;;;;;;;;;,6
HATS411-035;;;;;;;;;;,6
TOI-286;;;;;;;;;;,6
E_246891964;;;;;;;;;;,6
TYC1333-449-1;;;;;;;;;;,6
RV_OCT;;;;;;;;;;,6
E_201253025;;;;;;;;;;,6
NOI-103302;;;;;;;;;;,6
K2-129;;;;;;;;;;,6
NOI-101195;;;;;;;;;;,6
HD144844;;;;;;;;;;,6
TOI-697;;;;;;;;;;,6
HIP26680;;;;;;;;;;,6
NOI-103406;;;;;;;;;;,6
E_246887507;;;;;;;;;;,6
ZET HOR;ZETA_HOR;;;;;;;;;,6
HD 70937;HD  70937;HD70937;;;;;;;;,6
EM AS  220;;;;;;;;;;,6
HARO 1-6;;;;;;;;;;,6
NOI-103322;;;;;;;;;;,6
NOI-104059;;;;;;;;;;,6
TOI-2599;;;;;;;;;;,6
TOI-2001;;;;;;;;;;,6
TOI-786;;;;;;;;;;,6
HD 179218;;;;;;;;;;,6
TOI-4366;;;;;;;;;;,6
TOI-422;;;;;;;;;;,6
TIC 277128619;;;;;;;;;;,6
HIP54109;;;;;;;;;;,6
HD156365;;;;;;;;;;,5
HD37962;;;;;;;;;;,5
HD31560;;;;;;;;;;,5
BD-120327;;;;;;;;;;,5
HD26413A;;;;;;;;;;,5
HD2014;;;;;;;;;;,5
HIP9398;;;;;;;;;;,5
HD8930;;;;;;;;;;,5
BD-090956;;;;;;;;;;,5
LHS3583;;;;;;;;;;,5
LHS1610;;;;;;;;;;,5
HD88656;;;;;;;;;;,5
L707-74;;;;;;;;;;,5
HD42505;;;;;;;;;;,5
HD56351;;;;;;;;;;,5
HD21251;;;;;;;;;;,5
HD93380;;;;;;;;;;,5
HD80545;;;;;;;;;;,5
HD116858;;;;;;;;;;,5
HD109368;;;;;;;;;;,5
HIP61563;;;;;;;;;;,5
HD105004;;;;;;;;;;,5
HD95406;;;;;;;;;;,5
BD-173088;;;;;;;;;;,5
HD90936;;;;;;;;;;,5
HD129829;;;;;;;;;;,5
CS-30314-0067;;;;;;;;;;,5
Q-1254+047;;;;;;;;;;,5
HD120491;;;;;;;;;;,5
CD-3112467B;HD143336;;;;;;;;;,5
HD221974;;;;;;;;;;,5
G141-29;;;;;;;;;;,5
GJ1154A;;;;;;;;;;,5
HD212943;;;;;;;;;;,5
HD210320;;;;;;;;;;,5
HD203413;;;;;;;;;;,5
HD224432;;;;;;;;;;,5
HIP1745;;;;;;;;;;,5
BD-110192;;;;;;;;;;,5
HD6378;;;;;;;;;;,5
CPD-64120;;;;;;;;;;,5
HD35850;;;;;;;;;;,5
HD41842;;;;;;;;;;,5
HD-59435;;;;;;;;;;,5
HD2247;;;;;;;;;;,5
HD9536;;;;;;;;;;,5
BD+17235;;;;;;;;;;,5
HD32324;;;;;;;;;;,5
HD41327;;;;;;;;;;,5
HD42931;;;;;;;;;;,5
HIP-51477;HD91121;;;;;;;;;,5
TWA6;;;;;;;;;;,5
HR3502;HD75416;;;;;;;;;,5
HIP67092;;;;;;;;;;,5
HD-80316;;;;;;;;;;,5
HD157750;;;;;;;;;;,5
HD180134;;;;;;;;;;,5
BD-184289;;;;;;;;;;,5
BPM14269;;;;;;;;;;,5
HD128340;;;;;;;;;;,5
HD209779;;;;;;;;;;,5
HD115231;;;;;;;;;;,5
HD126583;;;;;;;;;;,5
HD134353;;;;;;;;;;,5
HD216215;;;;;;;;;;,5
HD214867;;;;;;;;;;,5
HD132411;;;;;;;;;;,5
HIP110714;;;;;;;;;;,5
HD193844;;;;;;;;;;,5
HD10337;;;;;;;;;;,5
HD15942;;;;;;;;;;,5
HD113101;;;;;;;;;;,5
HIP65674;;;;;;;;;;,5
HD112540;;;;;;;;;;,5
HD189242;;;;;;;;;;,5
7566;NGC6253_CANDOUT_7566;;;;;;;;;,5
HD148319;;;;;;;;;;,5
HD192509;;;;;;;;;;,5
HD189004;;;;;;;;;;,5
HD147555A;;;;;;;;;;,5
BD-075223;;;;;;;;;;,5
HIP114427;;;;;;;;;;,5
HD-36734;;;;;;;;;;,5
HD-34172;;;;;;;;;;,5
HD202605;;;;;;;;;;,5
HD-72688;;;;;;;;;;,5
HD-34172;;;;;;;;;;,5
HD-69142;;;;;;;;;;,5
HD-75605;;;;;;;;;;,5
HR_2766;;;;;;;;;;,5
HD-111915;;;;;;;;;;,5
HD-111315;;;;;;;;;;,5
HD-124206;;;;;;;;;;,5
HD-129456;;;;;;;;;;,5
HD-129893;;;;;;;;;;,5
HD-132905;;;;;;;;;;,5
RHO-OPH;;;;;;;;;;,5
HD179406;;;;;;;;;;,5
HD152249;;;;;;;;;;,5
NGC2567NO61;;;;;;;;;;,5
HD-85250;;;;;;;;;;,5
HD-86868;;;;;;;;;;,5
HD-87606;;;;;;;;;;,5
HD-88351;;;;;;;;;;,5
HD-87896;;;;;;;;;;,5
HD-88836;;;;;;;;;;,5
HD-90518;;;;;;;;;;,5
HD-90957;;;;;;;;;;,5
HD-91437;;;;;;;;;;,5
HD-107567;;;;;;;;;;,5
HD-107815;;;;;;;;;;,5
HD-111884;;;;;;;;;;,5
HD-135758;;;;;;;;;;,5
HD-148890;;;;;;;;;;,5
GJ46;;;;;;;;;;,5
GJ3084;;;;;;;;;;,5
GJ130;;;;;;;;;;,5
GJ3321;;;;;;;;;;,5
GJ3367;;;;;;;;;;,5
IRA01_E2_2604;;;;;;;;;;,5
HD-106355;STD1211-1658;STD1214-1714;;;;;;;;,5
HD-93813;;;;;;;;;;,5
HD-96407;;;;;;;;;;,5
HD-96566;;;;;;;;;;,5
HD-97344;;;;;;;;;;,5
HD-101021;;;;;;;;;;,5
HD-67977;;;;;;;;;;,5
LT-LUP;;;;;;;;;;,5
HD177474;;;;;;;;;;,5
HD-12431;;;;;;;;;;,5
GJ863;;;;;;;;;;,5
GJ781.1A;;;;;;;;;;,5
GJ874;;;;;;;;;;,5
SRC01_E1_0936;;;;;;;;;;,5
NGC6863_D;NGC6863_B;NGC6863_A;NGC6863_C;;;;;;;,5
TYC-5891-69-1;SERAM_0432-1520;;;;;;;;;,5
GJ3139;;;;;;;;;;,5
OBJ637;;;;;;;;;;,5
OBJ1315;;;;;;;;;;,5
OBJ1716;;;;;;;;;;,5
OBJ1247;;;;;;;;;;,5
OBJ1504;NGC  2682   157;;;;;;;;;,5
OBJ1735;;;;;;;;;;,5
SAND610;S610;;;;;;;;;,5
TYC-8654-1115-1;;;;;;;;;;,5
TYC-9412-59-1;;;;;;;;;;,5
HIP-56327;SUCRT;;;;;;;;;,5
GJ4016;;;;;;;;;;,5
GJ9773;;;;;;;;;;,5
VB10;;;;;;;;;;,5
HD118285;;;;;;;;;;,5
HD80859;;;;;;;;;;,5
HD83297;;;;;;;;;;,5
HD85012;;;;;;;;;;,5
HD103257;;;;;;;;;;,5
HD216133;;;;;;;;;;,5
HR6139;;;;;;;;;;,5
HV_LUP;HV-LUP;;;;;;;;;,5
GJ828.2;;;;;;;;;;,5
HIP110655;;;;;;;;;;,5
HD213852;;;;;;;;;;,5
V383_SCO;V383-SCO;;;;;;;;;,5
V381-SCO;V381_SCO;;;;;;;;;,5
CD-TAU;;;;;;;;;;,5
LRA02_E2_1136;;;;;;;;;;,5
LRA02_E2_2057;;;;;;;;;;,5
HD33331;;;;;;;;;;,5
HD40494;;;;;;;;;;,5
HIP28641;;;;;;;;;;,5
HIP29442;;;;;;;;;;,5
;;;;;;;;;;,5
HD-28217;;;;;;;;;;,5
SAND1402;S1402;;;;;;;;;,5
GJ319C;;;;;;;;;;,5
GJ333.2A;;;;;;;;;;,5
HD143448;MQTRA;;;;;;;;;,5
HD-112091;MU02CRU;;;;;;;;;,5
BD-065663;;;;;;;;;;,5
HD218614;;;;;;;;;;,5
HIP114954;;;;;;;;;;,5
LMC123.7-9;LMC123.7.9;;;;;;;;;,5
LMC173.4-14015;LMC554.24.12873;;;;;;;;;,5
TZ-MEN;;;;;;;;;;,5
A042041;ASAS-042041;B_A042041;;;;;;;;,5
HD50890;;;;;;;;;;,5
HD43587;HIP29860;;;;;;;;;,5
HD75202;;;;;;;;;;,5
LRC05_E2_3531;;;;;;;;;;,5
ARE1925;;;;;;;;;;,5
A_V415;AHD231630;;;;;;;;;,5
B_A195530;B-CD71-1579;;;;;;;;;,5
HD091201;;;;;;;;;;,5
HD126516;;;;;;;;;;,5
NGC6633NO100;HD170174;;;;;;;;;,5
GJ899;;;;;;;;;;,5
A_HD129899;;;;;;;;;;,5
SRA02_E2_0893;;;;;;;;;;,5
LRA01_E2_2249;;;;;;;;;;,5
NGC6067NO.316;;;;;;;;;;,5
NGC5822NO.102;;;;;;;;;;,5
NGC6067NO.261;;;;;;;;;;,5
HD68402;;;;;;;;;;,5
BLG340.6_13443;;;;;;;;;;,5
LRC09_E2_2479;;;;;;;;;;,5
CWW_083;;;;;;;;;;,5
CWW_054;;;;;;;;;;,5
IC4651NO6333;;;;;;;;;;,5
IC4651NO12935;;;;;;;;;;,5
BLG216.3_150220;;;;;;;;;;,5
BLG180.1_105299;BLG180.1;;;;;;;;;,5
NGC2204NO.3324;NGC2204NO.3325;;;;;;;;;,5
NGC2204NO.2211;NGC2204NO.2212;;;;;;;;;,5
HD-40111;;;;;;;;;;,5
HIP39535;;;;;;;;;;,5
HD846634;;;;;;;;;;,5
HATS579-007;;;;;;;;;;,5
HATS551-017;;;;;;;;;;,5
HIP10672;;;;;;;;;;,5
HIP15206;;;;;;;;;;,5
HD71722;;;;;;;;;;,5
HATS555-001;;;;;;;;;;,5
HATS608-007;;;;;;;;;;,5
HATS563-014;;;;;;;;;;,5
HD72673;;;;;;;;;;,5
HATS602-002;;;;;;;;;;,5
HD159656;;;;;;;;;;,5
HD90774;;;;;;;;;;,5
HD134330;;;;;;;;;;,5
HD122603;;;;;;;;;;,5
HD188345;;;;;;;;;;,5
HATS777-001;;;;;;;;;;,5
HATS601-061;;;;;;;;;;,5
HATS602-124;;;;;;;;;;,5
