seqn, name         ,            identifier             ,typ,     ICRS_J2000                    ,      Ecl_J2000                    ,      Gal_J2000                    ,       pm       ,   plx   ,   radvel   ,  MagU   ,  MagB   ,  MagV   ,  MagR   ,  MagG   ,  MagI   ,  MagJ   ,  MagH   ,  MagK   ,  Magu   ,  Magg   ,  Magr   ,  Magi   ,  Magz   ,  spec_type    ,        morph_type         ,      ang_size       ,nparents,nchildren,nsiblings,nbib,nnotes
233 ,PNG 018.6-02.2,PN M 3-54                          ,PN ,278.265604 -13.738875              ,278.139126 +09.467194              ,018.629851 -02.238151              ,                ,         ,156.2       ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,               ,                           ,0.093 0.093          ,0       ,0        ,0        ,  34,   0
234 ,PNG 018.9+03.6,PN M 4-8                           ,PN ,273.0400234025400 -10.7162098863900,273.0618338952355 +12.6907818966379,018.9036933328442 +03.6893845781665, -3.589 -10.949 ,0.1408   ,31          ,         ,         ,         ,         ,16.106668,         ,13.356   ,12.949   ,12.412   ,         ,         ,         ,         ,         ,               ,                           ,                     ,0       ,0        ,0        ,  38,   0
235 ,PNG 018.9+04.1,PN G018.9+04.1                     ,PN ,272.61033 -10.48419                ,272.63357 +12.93124                ,018.90569 +04.17127                ,                ,         ,4           ,         ,         ,         ,         ,         ,         ,         ,15.311   ,14.938   ,         ,         ,         ,         ,         ,               ,                           ,0.200 0.200          ,0       ,0        ,0        ,  27,   0
236 ,PNG 019.2-02.2,PN M 4-10                          ,PN ,278.55771 -13.20686                ,278.45870 +09.98151                ,019.23337 -02.24574                ,                ,         ,49.6        ,         ,         ,         ,         ,         ,         ,13.351   ,13.105   ,12.191   ,         ,         ,         ,         ,         ,               ,                           ,0.03333334 0.01856683,0       ,0        ,0        ,  36,   0
237 ,PNG 019.4-05.3,PN M 1-61                          ,PN ,281.47967 -14.46053                ,281.23724 +08.53208                ,019.40573 -05.34273                ,                ,         ,31          ,         ,         ,         ,         ,         ,         ,11.602   ,11.529   ,10.649   ,         ,         ,         ,         ,         ,               ,                           ,0.03030300 0.03020867,0       ,0        ,0        , 105,   0
238 ,PNG 019.4-13.6,PN DeHt 3                          ,PN ,289.267363 -18.026983              ,288.337943 +04.194134              ,019.422721 -13.624799              ,                ,         ,-37         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,               ,                           ,                     ,0       ,0        ,0        ,  24,   0
239 ,PNG 019.4-19.6,PN K 2-7                           ,PN ,295.1212122307800 -20.4516387935500,293.4427075015191 +00.9664746084497,019.4067523487356 -19.6593993575647,   2.196 -4.939 ,0.5674   ,-17.78      ,         ,         ,         ,         ,12.372094,         ,10.472   ,9.879    ,9.696    ,         ,         ,         ,         ,         ,               ,                           ,                     ,0       ,0        ,0        ,  17,   0
240 ,PNG 019.7+03.2,PN M 3-25                          ,PN ,273.820696 -10.169297              ,273.863100 +13.218779              ,019.751563 +03.274286              ,                ,         ,162.8       ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,               ,                           ,                     ,0       ,0        ,0        ,  51,   0
241 ,PNG 019.7-04.5,PN M 1-60                          ,PN ,280.9087208119200 -13.7470223985400,280.7349124108032 +09.2866860596799,019.7949936239958 -04.5270676408938,                ,         ,88          ,         ,         ,         ,         ,17.389206,         ,12.948   ,12.788   ,11.758   ,         ,         ,         ,         ,         ,[WC4]          ,                           ,0.10000000 0.03525417,0       ,0        ,0        ,  82,   0
242 ,PNG 019.8+05.6,PN CTS 1                           ,PN ,271.749108 -08.925778              ,271.784816 +14.502683              ,019.870666 +05.662897              ,                ,         ,86          ,         ,15.2     ,14.3     ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,               ,                           ,                     ,0       ,0        ,0        ,  21,   0
243 ,PNG 019.8-23.7,PN A66 66                          ,PN ,299.3812619368700 -21.6128359786800,297.1409894707467 -00.8992860395812,019.8415607212611 -23.7817867702428,   0.253 -8.095 ,0.8708   ,            ,         ,17.71    ,17.39    ,         ,18.082024,         ,         ,         ,         ,         ,         ,         ,         ,         ,               ,                           ,4.447 4.447          ,0       ,0        ,0        ,  46,   0
244 ,PNG 019.9+00.9,PN M 3-53                          ,PN ,276.033012 -11.111764              ,276.056811 +12.200779              ,019.944723 +00.912438              ,                ,         ,20.6        ,         ,         ,         ,         ,         ,         ,14.36    ,13.86    ,12.63    ,         ,         ,         ,         ,         ,               ,                           ,                     ,0       ,0        ,0        ,  28,   0
245 ,PNG 020.2-00.6,PN A66 45                          ,PN ,277.564258 -11.615953              ,277.564511 +11.624936              ,020.197421 -00.650896              ,                ,         ,            ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,               ,                           ,                     ,0       ,0        ,0        ,  29,   0
246 ,PNG 020.7-05.9,PN Sa 1-8                          ,PN ,282.6847622011400 -13.5173237177800,282.4972906681235 +09.3733611393770,020.7792450331734 -05.9662512891359,   1.954 -2.803 ,0.251    ,46          ,         ,12       ,         ,         ,14.286933,         ,13.288   ,13.215   ,12.931   ,         ,         ,         ,         ,         ,O(H)4-8III     ,                           ,0.093 0.093          ,0       ,0        ,0        ,  43,   0
247 ,PNG 020.9-01.1,PN M 1-51                          ,PN ,278.37104 -11.12403                ,278.39971 +12.07152                ,020.99925 -01.12505                ,                ,         ,-6.7        ,         ,         ,         ,         ,         ,         ,12.833   ,12.113   ,10.699   ,         ,         ,         ,         ,         ,[WC4/6]        ,                           ,0.250 0.250          ,0       ,0        ,0        ,  87,   1
248 ,PNG 021.1-05.9,PN M 1-63                          ,PN ,282.879008 -13.176828              ,282.718984 +09.695633              ,021.170426 -05.983389              ,      15.5 -2.4 ,         ,5           ,         ,15.50    ,14.09    ,16.04    ,         ,15.38    ,14.68    ,14.85    ,14.15    ,         ,         ,         ,         ,         ,               ,                           ,0.070 0.070          ,0       ,0        ,0        ,  42,   0
249 ,PNG 021.2-03.9,PN G021.2-03.9                     ,PN ,281.025971 -12.215875              ,280.970119 +10.804523              ,021.216223 -03.936653              ,                ,         ,-11         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,               ,                           ,                     ,0       ,0        ,0        ,  20,   0
250 ,PNG 021.7-00.6,PN M 3-55                          ,PN ,278.311554 -10.255403              ,278.392533 +12.942079              ,021.743146 -00.672632              ,                ,         ,9.7         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,               ,                           ,0.467 0.467          ,0       ,0        ,0        ,  45,   0
251 ,PNG 021.8-00.4,PN M 3-28                          ,PN ,278.172033 -10.097231              ,278.261324 +13.108018              ,021.820097 -00.477808              ,                ,         ,4.7         ,         ,15.6     ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,               ,                           ,0.150 0.150          ,0       ,0        ,0        ,  87,   0
252 ,PNG 022.0-03.1,PN VV 201                          ,PN ,280.737413 -11.114750              ,280.768744 +11.924059              ,022.070989 -03.185295              ,                ,         ,57.2        ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,               ,                           ,0.107 0.107          ,0       ,0        ,0        ,  60,   0
253 ,PNG 022.1-02.4,PN M 1-57                          ,PN ,280.0844006833300 -10.6631158171000,280.1484891351391 +12.4216227979291,022.1810956073639 -02.4087098407168,  -3.813 -4.865 ,0.2205   ,79.9        ,         ,         ,         ,         ,15.500001,         ,12.580   ,12.276   ,11.541   ,         ,         ,         ,         ,         ,               ,                           ,0.140 0.140          ,0       ,0        ,0        ,  91,   0
254 ,PNG 022.5+01.0,PN G022.5+01.0                     ,PN ,277.146842 -08.723006              ,277.298576 +14.535405              ,022.569895 +01.054906              ,                ,         ,            ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,               ,                           ,0.437 0.437          ,0       ,0        ,0        ,  27,   0
